Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,[Nature],[Quantile],[Reporting Type],[Units]
"10","10.1","10.1.1","SI_HEI_TOTL","Growth rates of household expenditure or income per capita (%)","218","Ecuador","2022","-1.14","2022","","","","","World Bank","","Estimated from income data. Growth rates are for the period of 2017-2022.","G","B40","G","PERCENT"
"10","10.1","10.1.1","SI_HEI_TOTL","Growth rates of household expenditure or income per capita (%)","218","Ecuador","2022","-0.63","2022","","","","","World Bank","","Estimated from income data. Growth rates are for the period of 2017-2022.","G","_T","G","PERCENT"
